"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2022","26,094.50","28,273.13","28,423.46","25,953.92","14.84B","-6.70%"
"11/01/2022","27,968.99","27,614.64","28,502.29","27,032.02","15.56B","1.38%"
"10/01/2022","27,587.46","25,778.95","27,602.99","25,621.96","14.35B","6.36%"
"09/01/2022","25,937.21","27,797.00","28,659.76","25,805.59","13.77B","-7.67%"
"08/01/2022","28,091.53","27,813.82","29,222.77","27,530.60","13.98B","1.04%"
"07/01/2022","27,801.64","26,460.71","28,015.68","25,841.75","13.39B","5.34%"
"06/01/2022","26,393.04","27,295.63","28,389.75","25,520.23","16.38B","-3.25%"
"05/01/2022","27,279.80","26,851.10","27,463.33","25,688.11","15.83B","1.61%"
"04/01/2022","26,847.90","27,624.11","27,965.94","26,051.04","13.46B","-3.50%"
"03/01/2022","27,821.43","26,836.74","28,338.81","24,681.74","18.83B","4.88%"
"02/01/2022","26,526.82","27,167.14","27,880.70","25,775.64","13.91B","-1.76%"
"01/01/2022","27,001.98","29,098.41","29,388.16","26,044.52","13.88B","-6.22%"
"12/01/2021","28,791.71","27,866.73","29,121.01","27,588.61","12.84B","3.49%"
"11/01/2021","27,821.76","29,330.68","29,960.93","27,819.14","14.34B","-3.71%"
"10/01/2021","28,892.69","29,235.11","29,489.11","27,293.62","16.02B","-1.90%"
"09/01/2021","29,452.66","28,179.04","30,795.78","28,179.04","15.61B","4.85%"
"08/01/2021","28,089.54","27,493.32","28,279.80","26,954.81","12.35B","2.95%"
"07/01/2021","27,283.59","28,832.41","28,852.31","27,272.49","11.08B","-5.24%"
"06/01/2021","28,791.53","28,998.65","29,480.85","27,795.86","12.59B","-0.24%"
"05/01/2021","28,860.08","29,024.01","29,685.41","27,385.03","13.13B","0.16%"
"04/01/2021","28,812.63","29,441.91","30,208.89","28,419.84","12.31B","-1.25%"
"03/01/2021","29,178.80","29,419.45","30,485.00","28,308.57","19.56B","0.73%"
"02/01/2021","28,966.01","27,649.07","30,714.52","27,649.07","14.06B","4.71%"
"01/01/2021","27,663.39","27,575.57","28,979.53","27,002.18","13.89B","0.80%"
"12/01/2020","27,444.17","26,624.20","27,602.52","26,327.08","13.40B","3.82%"
"11/01/2020","26,433.62","23,110.74","26,834.20","23,096.79","16.15B","15.04%"
"10/01/2020","22,977.13","23,185.12","23,725.58","22,948.47","11.49B","-0.90%"
"09/01/2020","23,185.12","23,089.63","23,622.74","22,878.71","13.62B","0.20%"
"08/01/2020","23,139.76","21,947.58","23,431.04","21,919.83","13.57B","6.59%"
"07/01/2020","21,710.00","22,338.30","22,965.56","21,710.00","14.54B","-2.59%"
"06/01/2020","22,288.14","21,910.89","23,185.85","21,529.83","18.25B","1.88%"
"05/01/2020","21,877.89","19,991.97","21,955.44","19,448.93","15.39B","8.34%"
"04/01/2020","20,193.69","18,686.12","20,365.89","17,646.50","18.37B","6.75%"
"03/01/2020","18,917.01","20,849.79","21,719.78","16,358.19","31.02B","-10.53%"
"02/01/2020","21,142.96","22,874.27","23,995.37","20,916.40","13.96B","-8.89%"
"01/01/2020","23,205.18","23,319.76","24,115.95","22,892.95","11.33B","-1.91%"
"12/01/2019","23,656.62","23,388.63","24,091.12","23,044.78","11.73B","1.56%"
"11/01/2019","23,293.91","22,730.49","23,608.06","22,705.60","13.57B","1.60%"
"10/01/2019","22,927.04","21,831.44","23,008.43","21,276.01","13.48B","5.38%"
"09/01/2019","21,755.84","20,625.75","22,255.56","20,554.16","14.38B","5.08%"
"08/01/2019","20,704.37","21,361.58","21,556.69","20,110.76","13.90B","-3.80%"
"07/01/2019","21,521.53","21,566.27","21,823.07","20,993.44","12.05B","1.15%"
"06/01/2019","21,275.92","20,327.87","21,497.82","20,289.64","12.32B","3.28%"
"05/01/2019","20,601.19","22,184.40","22,190.49","20,581.58","15.03B","-7.45%"
"04/01/2019","22,258.73","21,500.89","22,362.92","21,471.12","12.74B","4.97%"
"03/01/2019","21,205.81","21,490.02","21,860.39","20,911.57","14.40B","-0.84%"
"02/01/2019","21,385.16","20,797.03","21,610.88","20,315.31","13.15B","2.94%"
"01/01/2019","20,773.49","19,655.13","20,892.68","19,241.37","13.76B","3.79%"
"12/01/2018","20,014.77","22,629.39","22,698.79","18,948.58","16.75B","-10.45%"
"11/01/2018","22,351.06","21,906.41","22,583.43","21,243.38","17.41B","1.96%"
"10/01/2018","21,920.46","24,173.37","24,448.07","20,971.93","18.79B","-9.12%"
"09/01/2018","24,120.04","22,819.17","24,286.10","22,172.90","14.92B","5.49%"
"08/01/2018","22,865.15","22,642.18","23,032.17","21,851.32","15.62B","1.38%"
"07/01/2018","22,553.72","22,233.80","22,949.32","21,462.95","15.71B","1.12%"
"06/01/2018","22,304.51","22,126.25","23,011.57","22,038.40","15.60B","0.46%"
"05/01/2018","22,201.82","22,453.42","23,050.39","21,931.65","16.57B","-1.18%"
"04/01/2018","22,467.87","21,441.57","22,495.56","21,056.02","14.29B","4.72%"
"03/01/2018","21,454.30","21,901.13","21,971.16","20,347.49","17.86B","-2.78%"
"02/01/2018","22,068.24","23,276.10","23,492.77","20,950.15","18.97B","-4.46%"
"01/01/2018","23,098.29","23,073.73","24,129.34","23,065.20","16.56B","1.46%"
"12/01/2017","22,764.94","22,916.93","22,994.33","22,119.21","16.31B","0.18%"
"11/01/2017","22,724.96","22,144.92","23,382.15","21,972.34","20.43B","3.24%"
"10/01/2017","22,011.61","20,400.51","22,086.88","20,363.28","19.31B","8.13%"
"09/01/2017","20,356.28","19,733.57","20,481.27","19,239.52","18.63B","3.61%"
"08/01/2017","19,646.24","19,907.08","20,113.73","19,280.02","19.34B","-1.40%"
"07/01/2017","19,925.18","20,056.32","20,200.88","19,856.65","18.46B","-0.54%"
"06/01/2017","20,033.43","19,692.16","20,318.11","19,686.32","23.99B","1.95%"
"05/01/2017","19,650.57","19,154.03","19,998.49","19,144.62","22.99B","2.36%"
"04/01/2017","19,196.74","18,988.00","19,289.43","18,224.68","24.29B","1.52%"
"03/01/2017","18,909.26","19,226.94","19,668.01","18,909.26","26.46B","-1.10%"
"02/01/2017","19,118.99","18,926.97","19,519.44","18,805.32","26.06B","0.41%"
"01/01/2017","19,041.34","19,298.68","19,615.40","18,650.33","24.08B","-0.38%"
"12/01/2016","19,114.37","18,535.24","19,592.90","18,227.39","30.79B","4.40%"
"11/01/2016","18,308.48","17,380.54","18,482.94","16,111.81","32.37B","5.07%"
"10/01/2016","17,425.02","16,566.03","17,461.03","16,554.83","22.23B","5.93%"
"09/01/2016","16,449.84","16,885.16","17,156.36","16,285.41","24.93B","-2.59%"
"08/01/2016","16,887.40","16,415.31","16,943.67","15,921.04","26.76B","1.92%"
"07/01/2016","16,569.27","15,698.02","16,938.96","15,106.52","28.17B","6.38%"
"06/01/2016","15,575.92","17,097.22","17,145.95","14,864.01","30.96B","-9.63%"
"05/01/2016","17,234.98","16,357.10","17,251.36","15,975.47","25.72B","3.41%"
"04/01/2016","16,666.05","16,719.56","17,613.56","15,471.80","32.30B","-0.55%"
"03/01/2016","16,758.67","16,013.00","17,291.35","15,857.37","33.07B","4.57%"
"02/01/2016","16,026.76","17,699.60","17,905.37","14,865.77","41.74B","-8.51%"
"01/01/2016","17,518.30","18,818.58","18,951.12","16,017.26","32.41B","-7.96%"
"12/01/2015","19,033.71","19,799.08","20,012.40","18,562.51","27.53B","-3.61%"
"11/01/2015","19,747.47","18,827.11","19,994.05","18,641.22","25.60B","3.48%"
