"Date","Price","Open","High","Low","Vol.","Change %"
"12/25/2022","26,094.50","26,299.54","26,620.49","25,953.92","2.75B","-0.54%"
"12/18/2022","26,235.25","27,279.92","27,349.58","26,106.38","4.45B","-4.69%"
"12/11/2022","27,527.12","27,741.10","28,195.69","27,488.83","2.91B","-1.34%"
"12/04/2022","27,901.01","27,752.99","27,952.80","27,415.66","3.22B","0.44%"
"11/27/2022","27,777.90","28,220.56","28,423.46","27,662.12","3.87B","-1.79%"
"11/20/2022","28,283.03","27,982.00","28,502.29","27,846.30","2.73B","1.37%"
"11/13/2022","27,899.77","28,277.64","28,305.04","27,743.15","3.53B","-1.29%"
"11/06/2022","28,263.57","27,406.78","28,329.54","27,357.53","4.23B","3.91%"
"10/30/2022","27,199.74","27,404.30","27,692.55","27,032.02","3.41B","0.35%"
"10/23/2022","27,105.20","27,233.00","27,578.05","26,974.90","3.92B","0.80%"
"10/16/2022","26,890.58","26,785.02","27,371.38","26,649.13","3.06B","-0.74%"
"10/09/2022","27,090.76","26,757.12","27,180.16","26,237.42","2.89B","-0.09%"
"10/02/2022","27,116.11","25,778.95","27,399.19","25,621.96","3.77B","4.55%"
"09/25/2022","25,937.21","26,779.44","26,779.44","25,805.59","4.46B","-4.48%"
"09/18/2022","27,153.83","27,788.68","27,907.45","26,955.18","1.88B","-1.50%"
"09/11/2022","27,567.65","28,483.59","28,659.76","27,525.68","3.03B","-2.29%"
"09/04/2022","28,214.75","27,567.29","28,286.02","27,268.70","3.12B","2.04%"
"08/28/2022","27,650.84","28,161.06","28,233.80","27,570.74","3.39B","-3.46%"
"08/21/2022","28,641.38","28,654.07","28,828.21","28,282.21","2.70B","-1.00%"
"08/14/2022","28,930.33","28,623.78","29,222.77","28,623.78","2.66B","1.34%"
"08/07/2022","28,546.98","28,050.09","28,546.98","27,729.46","2.81B","1.32%"
"07/31/2022","28,175.87","27,813.82","28,190.04","27,530.60","3.70B","1.35%"
"07/24/2022","27,801.64","27,697.77","28,015.68","27,525.09","3.10B","-0.40%"
"07/17/2022","27,914.66","27,003.83","27,952.25","26,791.71","2.43B","4.20%"
"07/10/2022","26,788.47","26,892.73","27,062.17","26,278.28","3.13B","1.02%"
"07/03/2022","26,517.19","26,086.78","26,881.75","25,945.83","3.91B","2.24%"
"06/26/2022","25,935.62","26,741.80","27,062.31","25,841.75","4.08B","-2.10%"
"06/19/2022","26,491.97","26,156.62","26,519.16","25,520.23","3.42B","2.04%"
